Periode,TYPE_EENHEID,NIS_CODE_EENHEID,LABEL_EENHEID,AANTAL fieldLabel_nl,TOTAAL
202106,Gemeente,71069,Ham,0,11031
202106,Gemeente,72018,Kinrooi,1,12216
202106,Gemeente,72021,Maaseik,4,25389
202106,Gemeente,81003,Attert,0,5654
202106,Gemeente,82009,Fauvillers,0,2338
202106,Gemeente,82032,Vielsalm,5,7879
202106,Gemeente,84029,Herbeumont,0,1653
202106,Gemeente,85011,Florenville,0,5687
202106,Gemeente,85026,Musson,0,4656
202106,Gemeente,85046,Habay,2,8510
202106,Gemeente,91005,Anhée,3,7172
202106,Gemeente,92006,Assesse,4,7193
202106,Gemeente,92101,Profondeville,0,12157
202106,Gemeente,92142,Gembloux,17,26239
202106,Gemeente,93018,Doische,0,2962
202106,Gemeente,93090,Viroinval,0,5677
202106,Gemeente,11022,Kalmthout,2,19020
202106,Gemeente,11023,Kapellen,5,27157
